k,c,z
2.54129,1.05453,1.02187
2.49223,1.01658,0.923461
2.4145,0.984745,0.879106
2.38411,0.987798,0.92037
2.45365,1.03468,1.03454
2.42797,1.00267,0.933776
2.38167,0.982782,0.903697
2.50575,1.06393,1.09911
2.64062,1.10756,1.13329
2.55725,1.02781,0.903104
2.39201,0.953311,0.787377
2.21335,0.892101,0.732857
2.10008,0.874917,0.775133
2.12356,0.91949,0.923874
2.18475,0.948362,0.974539
2.1399,0.905952,0.853471
2.13338,0.9145,0.893207
2.07087,0.878666,0.819627
2.04132,0.878583,0.849215
1.99343,0.857544,0.818092
2.12692,0.948017,1.04093
2.34381,1.0359,1.16663
2.72729,1.18996,1.3979
2.98797,1.23815,1.31092
3.29955,1.34031,1.40533
3.3095,1.27217,1.12327
3.22107,1.22412,1.02451
3.39549,1.33747,1.2926
3.58719,1.39384,1.33416
4.00258,1.55792,1.59396
4.1337,1.5219,1.34495
4.43653,1.6458,1.54772
4.70996,1.70403,1.5463
4.97713,1.76835,1.57446
4.44737,1.43531,0.866404
4.06983,1.38276,0.939251
4.05394,1.47159,1.22694
4.00832,1.45146,1.19206
3.6546,1.27703,0.879953
3.269,1.1588,0.779661
2.96351,1.09126,0.782126
2.69458,1.01946,0.756728
2.45003,0.949555,0.723976
2.32928,0.946891,0.819066
2.37649,1.00526,0.997771
2.25925,0.92422,0.805156
2.12539,0.876413,0.757958
2.15441,0.930829,0.936219
2.07764,0.876646,0.805616
2.03711,0.874257,0.836723
1.9622,0.839407,0.781438
1.86059,0.797491,0.727764
1.76121,0.764884,0.706429
1.71456,0.765736,0.756897
1.75816,0.805556,0.868868
1.83856,0.841394,0.925235
2.09904,0.969197,1.17199
2.27749,1.00616,1.1155
2.40979,1.03635,1.09058
2.56573,1.08983,1.14164
2.51194,1.02156,0.922905
2.48463,1.01989,0.943509
2.31767,0.928708,0.768338
2.14297,0.870234,0.720047
2.04132,0.859092,0.774059
2.00925,0.867697,0.840229
1.95998,0.846124,0.80896
1.85929,0.796925,0.727572
1.79547,0.787802,0.756294
2.0516,0.952987,1.16101
2.06403,0.897205,0.898849
2.15611,0.947042,1.0017
2.35809,1.03686,1.15344
2.45042,1.03924,1.0572
2.47309,1.02903,0.99103
2.47391,1.02375,0.969332
2.47867,1.02623,0.974195
2.58688,1.08494,1.09738
2.72946,1.13614,1.15596
2.88624,1.18603,1.19558
3.17508,1.30041,1.36719
3.58752,1.44325,1.53858
3.89562,1.50112,1.47464
4.00516,1.48537,1.31486
4.0904,1.50431,1.31286
3.99909,1.43699,1.14975
3.89312,1.40614,1.12469
3.63498,1.2971,0.954586
3.39642,1.23555,0.927226
3.21612,1.19923,0.942943
3.05538,1.15753,0.929584
2.75615,1.02902,0.743422
2.64972,1.05038,0.899422
2.57665,1.03645,0.916985
2.5589,1.04526,0.967503
2.41243,0.965067,0.810401
2.51541,1.06174,1.07971
2.5608,1.06167,1.03019
2.5524,1.04563,0.975412
2.52191,1.03058,0.9477
2.37201,0.951208,0.797942
2.1817,0.877863,0.712836
2.10071,0.884498,0.80979
2.07519,0.890766,0.861125
2.03349,0.872419,0.833783
1.93901,0.825742,0.754239
1.85619,0.802258,0.748851
1.68557,0.71003,0.59482
1.63934,0.742417,0.745518
1.66583,0.769925,0.828589
1.66995,0.763969,0.800329
1.62294,0.732158,0.728086
1.66042,0.77137,0.840893
1.63867,0.745176,0.761259
1.64562,0.757248,0.800191
1.58243,0.712259,0.696707
1.51068,0.686152,0.671977
1.58673,0.757666,0.872202
1.62617,0.758965,0.8303
1.7144,0.802457,0.90832
1.82322,0.843628,0.95347
1.9496,0.889289,0.998177
1.96305,0.864208,0.87695
2.06177,0.9186,0.990619
2.20627,0.975756,1.06633
2.50277,1.10299,1.27517
2.62625,1.10014,1.11955
2.78927,1.1588,1.18597
2.72458,1.08381,0.953987
2.80123,1.14194,1.10387
2.79107,1.11758,1.01862
2.72478,1.08342,0.952751
2.6807,1.07575,0.965446
2.59957,1.04135,0.913772
2.53058,1.02329,0.911677
2.56094,1.05798,1.01532
2.56029,1.05001,0.984566
2.85036,1.20625,1.32138
3.23082,1.3359,1.46256
