,MN_label,repetition,k,M,N,Time,MSE,MSIE,A_EEE,is_optimal,log_N,log_M,log_MN
0,1000-1,2.0,10.0,1000.0,1.0,0.012332489800610347,0.002441393728419374,6.830370294958327e-05,0.004496036723806126,0.0,0.0,6.907755278982137,6.907755278982137
1,1000-76,2.0,10.0,1000.0,76.0,0.21240012000016578,3.592735350875117e-05,3.6692959364027983e-06,0.00103764459496788,1.0,4.330733340286331,6.907755278982137,11.238488619268468
2,10000-1,2.0,10.0,10000.0,1.0,0.11615893599991978,0.0024311577299233776,1.2963982048532093e-05,0.0015190106004200272,0.0,0.0,9.210340371976184,9.210340371976184
3,10000-794,2.0,10.0,10000.0,794.0,17.748207830000318,5.789204155905339e-06,3.0881815928224432e-06,0.0009703251534854036,1.0,6.677083461247136,9.210340371976184,15.887423833223318
4,100000-1,2.0,10.0,100000.0,1.0,1.3269462872005533,0.0023903471533459697,6.851074737309582e-06,0.0013946222390720999,0.0,0.0,11.512925464970229,11.512925464970229
5,1000000-1,2.0,10.0,1000000.0,1.0,14.75975736439941,0.0023855627730526726,5.2012154159509884e-06,0.0013531933916339598,0.0,0.0,13.815510557964274,13.815510557964274
6,2000000-1,2.0,10.0,2000000.0,1.0,33.06764495520038,0.002384403452102147,5.0286845621871565e-06,0.001337108838179294,0.0,0.0,14.508657738524217,14.508657738524217
7,500-1,2.0,10.0,500.0,1.0,0.006453131399757695,0.0022658729849329463,inf,0.3770057684704481,0.0,0.0,6.214608098422191,6.214608098422191
8,500-36,2.0,10.0,500.0,36.0,0.04687916240000049,7.111201579701445e-05,9.085368247110267e-06,0.0014347289121127676,1.0,3.58351893845611,6.214608098422191,9.798127036878302
